m,A_R,K_R,zero_vals
0.6285290513349004,28.743990974886064,43.18245896832206,0.0
0.6322345127843995,28.718070920541628,43.21159233874788,0.0
0.6359618195957392,28.692440924739714,43.240478721203296,0.0
0.6397111005571529,28.667096517665478,43.26912176391197,0.0
0.6434824852161384,28.642033329804768,43.29752502398492,0.0
0.6472761038839344,28.617247088635036,43.32569197054527,0.0
0.6510920876400232,28.59273361555687,43.353625987809956,0.0
0.6549305683366593,28.568488822964035,43.381330377967195,0.0
0.6587916786034255,28.544508711317526,43.40880836393113,0.0
0.6626755518518158,28.520789366475476,43.43606309201783,0.0
0.666582322279845,28.497326957080066,43.463097634520366,0.0
0.6705121248766855,28.474117732022528,43.48991499206452,0.0
0.6744650954273315,28.451158018053203,43.51651809599681,0.0
0.6784413705172907,28.428444217453116,43.54290981064284,0.0
