m,poisson,delta,neg_binom
0.058052286963192236,1.2665987014770508e-05,7.450580596923828e-07,1.2665987014770508e-05
0.06760980079073785,1.2665987014770508e-05,7.450580596923828e-07,1.2665987014770508e-05
0.07874082834775371,6.705522537231445e-06,7.450580596923828e-07,6.705522537231445e-06
0.09170442711524444,6.705522537231445e-06,7.450580596923828e-07,6.705522537231445e-06
0.1068023048398003,5.21540641784668e-06,7.450580596923828e-07,5.21540641784668e-06
0.12438584131558722,5.21540641784668e-06,7.450580596923828e-07,5.21540641784668e-06
0.1448642662065548,5.21540641784668e-06,7.450580596923828e-07,5.21540641784668e-06
0.1687141832350477,2.2351741790771484e-06,7.450580596923828e-07,2.2351741790771484e-06
0.1964906623976074,5.21540641784668e-06,7.450580596923828e-07,5.21540641784668e-06
0.22884015836215837,5.21540641784668e-06,7.450580596923828e-07,5.21540641784668e-06
0.2665155557023324,1.2665987014770508e-05,7.450580596923828e-07,1.2665987014770508e-05
0.3103936911235281,8.195638656616211e-06,7.450580596923828e-07,8.195638656616211e-06
0.36149576048346593,0.5547069013118744,0.5000002682209015,0.5410365760326385
0.4210110855491342,1.3343371450901031,0.9999997913837433,1.2950025498867035
0.4903247936247032,1.8454261124134064,1.499999314546585,1.7943315207958221
0.5710500542510055,2.247191220521927,2.0000003278255463,2.191256731748581
0.665065623236,2.576432377099991,2.0000003278255463,2.519696205854416
0.7745595677955586,2.850998193025589,2.499999850988388,2.7961082756519318
0.9020801904397209,3.0822373926639557,2.499999850988388,3.030707687139511
1.0505953367792473,3.2778091728687286,2.499999850988388,3.230426460504532
1.2235614675501003,3.44330295920372,2.99999937415123,3.400450199842453
1.42500410240059,3.5832516849040985,2.99999937415123,3.544902056455612
1.6596115076461115,3.7014342844486237,2.99999937415123,3.6675117909908295
1.932843808429347,3.801283985376358,3.500000387430191,3.7713758647441864
2.251060064702978,3.8857094943523407,3.500000387430191,3.859538584947586
2.621666268532222,3.957141190767288,3.500000387430191,3.9341844618320465
3.053287707125913,4.017531126737595,3.500000387430191,3.9976634085178375
3.5559697030795534,4.0687911212444305,3.500000387430191,4.051568359136581
4.141411403749595,4.112408310174942,3.500000387430191,4.097764939069748
4.8232380608456085,4.149448126554489,3.999999910593033,4.136662930250168
5.617318137127608,4.181065410375595,3.999999910593033,4.169914871454239
6.542132620377183,4.208207875490189,3.999999910593033,4.1983820497989655
7.619205139854956,4.231255501508713,3.999999910593033,4.222867637872696
8.873602895541014,4.250853508710861,3.999999910593033,4.243766516447067
10.33452005851265,4.267904907464981,3.999999910593033,4.261555522680283
12.035957220202931,4.28200289607048,3.999999910593033,4.27703931927681
14.01751270367206,4.294421523809433,3.999999910593033,4.289669543504715
16.325304153440207,4.304950684309006,3.999999910593033,4.300806671380997
19.01304185246186,4.313983768224716,3.999999910593033,4.310404509305954
22.14327874603721,4.321550577878952,3.999999910593033,4.318597167730331
25.788866265037736,4.328251630067825,3.999999910593033,4.3256960809230804
30.034649830482806,4.333881288766861,3.999999910593033,4.331725090742111
34.979443499719935,4.338645190000534,3.999999910593033,4.33703139424324
40.7383297110487,4.343008249998093,3.999999910593033,4.341409355401993
47.44533764979417,4.346681386232376,3.999999910593033,4.345325380563736
55.256562570665906,4.349743574857712,3.999999910593033,4.348563402891159
64.35379867381249,4.352354258298874,3.999999910593033,4.351186007261276
74.94877008415565,4.354608803987503,3.999999910593033,4.353558272123337
87.28805840351224,4.3564967811107635,3.999999910593033,4.355596750974655
101.65884151667595,4.3581463396549225,3.999999910593033,4.357471317052841
118.39557721330672,4.359561949968338,3.999999910593033,4.358907788991928
